,Corrugation Amplitude,Wavelength,Reynolds Number,Nusselt Number
0,0.1,1.0,60.0,5.9064
1,0.1,1.0,70.0,6.2047
2,0.1,1.0,80.0,6.4913
3,0.1,1.0,90.0,6.7666
4,0.1,1.0,100.0,7.0308
5,0.1,1.0,110.0,7.2852
6,0.1,1.0,120.0,7.5305
7,0.1,1.0,130.0,7.7679
8,0.1,1.0,140.0,7.9993
9,0.1,1.0,150.0,8.2248
10,0.1,1.5,60.0,6.6466
11,0.1,1.5,70.0,6.9616
12,0.1,1.5,80.0,7.2401
13,0.1,1.5,90.0,7.4881
14,0.1,1.5,100.0,7.7124
15,0.1,1.5,110.0,7.9177
16,0.1,1.5,120.0,8.1092
17,0.1,1.5,130.0,8.2921
18,0.1,1.5,140.0,8.4708
19,0.1,1.5,150.0,8.6463
20,0.1,2.0,60.0,6.9779
21,0.1,2.0,70.0,7.3486
22,0.1,2.0,80.0,7.6856
23,0.1,2.0,90.0,7.9952
24,0.1,2.0,100.0,8.2834
25,0.1,2.0,110.0,8.5537
26,0.1,2.0,120.0,8.8082
27,0.1,2.0,130.0,9.0498
28,0.1,2.0,140.0,9.28
29,0.1,2.0,150.0,9.5002
30,0.1,3.0,60.0,7.0705
31,0.1,3.0,70.0,7.452999999999999
32,0.1,3.0,80.0,7.8026
33,0.1,3.0,90.0,8.1266
34,0.1,3.0,100.0,8.4295
35,0.1,3.0,110.0,8.7146
36,0.1,3.0,120.0,8.9861
37,0.1,3.0,130.0,9.2451
38,0.1,3.0,140.0,9.493
39,0.1,3.0,150.0,9.7316
40,0.1,6.0,60.0,7.1245
41,0.1,6.0,70.0,7.5102
42,0.1,6.0,80.0,7.8626
43,0.1,6.0,90.0,8.1887
44,0.1,6.0,100.0,8.4945
45,0.1,6.0,110.0,8.7825
46,0.1,6.0,120.0,9.0573
53,0.105,1.0,90.0,6.73
54,0.105,1.0,100.0,6.9972
55,0.105,1.5,60.0,6.598
56,0.105,1.5,70.0,6.9055
57,0.105,1.5,80.0,7.1758
58,0.105,1.5,90.0,7.4161
59,0.105,1.5,100.0,7.6328
60,0.105,1.5,110.0,7.8338
61,0.105,1.5,120.0,8.0256
62,0.105,1.5,130.0,8.2124
63,0.105,1.5,140.0,8.3968
64,0.105,1.5,150.0,8.58
65,0.105,2.0,60.0,6.9583
66,0.105,2.0,70.0,7.3269
67,0.105,2.0,80.0,7.6611
68,0.105,2.0,90.0,7.9689
69,0.105,2.0,100.0,8.2545
70,0.105,2.0,110.0,8.5224
71,0.105,2.0,120.0,8.7746
72,0.105,2.0,130.0,9.0138
73,0.105,2.0,140.0,9.2415
74,0.105,2.0,150.0,9.4594
75,0.105,3.0,60.0,7.0625
76,0.105,3.0,70.0,7.4445
77,0.105,3.0,80.0,7.7937
78,0.105,3.0,90.0,8.1166
79,0.105,3.0,100.0,8.4188
80,0.105,3.0,110.0,8.7037
81,0.105,3.0,120.0,8.9742
82,0.105,3.0,130.0,9.232000000000001
83,0.105,3.0,140.0,9.4792
84,0.105,3.0,150.0,9.7169
85,0.105,6.0,60.0,7.1227
86,0.105,6.0,70.0,7.5078
87,0.105,6.0,80.0,7.8607
88,0.105,6.0,90.0,8.187000000000001
89,0.105,6.0,100.0,8.4934
90,0.105,6.0,110.0,8.7821
91,0.105,6.0,120.0,9.0567
97,0.11,1.0,80.0,6.4128
98,0.11,1.0,90.0,6.6945
99,0.11,1.0,100.0,6.9636
100,0.11,1.5,60.0,6.5478
101,0.11,1.5,70.0,6.847
102,0.11,1.5,80.0,7.1091
103,0.11,1.5,90.0,7.3418
104,0.11,1.5,100.0,7.5538
105,0.11,2.0,60.0,6.9368
106,0.11,2.0,70.0,7.3034
107,0.11,2.0,80.0,7.6353
108,0.11,2.0,90.0,7.9405
114,0.11,2.0,150.0,9.4117
115,0.11,3.0,60.0,7.0538
116,0.11,3.0,70.0,7.4348
117,0.11,3.0,80.0,7.7835
118,0.11,3.0,90.0,8.1063
119,0.11,3.0,100.0,8.4077
120,0.11,3.0,110.0,8.6923
121,0.11,3.0,120.0,8.9626
122,0.11,3.0,130.0,9.2198
123,0.11,3.0,140.0,9.4669
124,0.11,3.0,150.0,9.7044
125,0.11,6.0,60.0,7.1211
126,0.11,6.0,70.0,7.5061
127,0.11,6.0,80.0,7.8587
128,0.11,6.0,90.0,8.185
129,0.11,6.0,100.0,8.4907
130,0.11,6.0,110.0,8.78
