Corrugation Amplitude,Wavelength,Reynolds Number,Nusselt Number
0.1,1,60,5.9064
0.1,1,70,6.2047
0.1,1,80,6.4913
0.1,1,90,6.7666
0.1,1,100,7.0308
0.1,1,110,7.2852
0.1,1,120,7.5305
0.1,1,130,7.7679
0.1,1,140,7.9993
0.1,1,150,8.2248
0.1,1.5,60,6.6466
0.1,1.5,70,6.9616
0.1,1.5,80,7.2401
0.1,1.5,90,7.4881
0.1,1.5,100,7.7124
0.1,1.5,110,7.9177
0.1,1.5,120,8.1092
0.1,1.5,130,8.2921
0.1,1.5,140,8.4708
0.1,1.5,150,8.6463
0.1,2,60,6.9779
0.1,2,70,7.3486
0.1,2,80,7.6856
0.1,2,90,7.9952
0.1,2,100,8.2834
0.1,2,110,8.5537
0.1,2,120,8.8082
0.1,2,130,9.0498
0.1,2,140,9.28
0.1,2,150,9.5002
0.1,3,60,7.0705
0.1,3,70,7.453
0.1,3,80,7.8026
0.1,3,90,8.1266
0.1,3,100,8.4295
0.1,3,110,8.7146
0.1,3,120,8.9861
0.1,3,130,9.2451
0.1,3,140,9.493
0.1,3,150,9.7316
0.1,6,60,7.1245
0.1,6,70,7.5102
0.1,6,80,7.8626
0.1,6,90,8.1887
0.1,6,100,8.4945
0.1,6,110,8.7825
0.1,6,120,9.0573
0.1,6,130,9.3193
0.1,6,140,9.5712
0.1,6,150,9.8137
0.105,1,60,5.8521
0.105,1,70,6.1583
0.105,1,80,6.4508
0.105,1,90,6.73
0.105,1,100,6.9972
0.105,1.5,60,6.598
0.105,1.5,70,6.9055
0.105,1.5,80,7.1758
0.105,1.5,90,7.4161
0.105,1.5,100,7.6328
0.105,1.5,110,7.8338
0.105,1.5,120,8.0256
0.105,1.5,130,8.2124
0.105,1.5,140,8.3968
0.105,1.5,150,8.58
0.105,2,60,6.9583
0.105,2,70,7.3269
0.105,2,80,7.6611
0.105,2,90,7.9689
0.105,2,100,8.2545
0.105,2,110,8.5224
0.105,2,120,8.7746
0.105,2,130,9.0138
0.105,2,140,9.2415
0.105,2,150,9.4594
0.105,3,60,7.0625
0.105,3,70,7.4445
0.105,3,80,7.7937
0.105,3,90,8.1166
0.105,3,100,8.4188
0.105,3,110,8.7037
0.105,3,120,8.9742
0.105,3,130,9.232
0.105,3,140,9.4792
0.105,3,150,9.7169
0.105,6,60,7.1227
0.105,6,70,7.5078
0.105,6,80,7.8607
0.105,6,90,8.187
0.105,6,100,8.4934
0.105,6,110,8.7821
0.105,6,120,9.0567
0.105,6,130,9.3193
0.105,6,140,9.5703
0.105,6,150,9.8131
0.11,1,60,5.8037
0.11,1,70,6.1161
0.11,1,80,6.4128
0.11,1,90,6.6945
0.11,1,100,6.9636
0.11,1.5,60,6.5478
0.11,1.5,70,6.847
0.11,1.5,80,7.1091
0.11,1.5,90,7.3418
0.11,1.5,100,7.5538
0.11,2,60,6.9368
0.11,2,70,7.3034
0.11,2,80,7.6353
0.11,2,90,7.9405
0.11,2,100,8.2231
0.11,2,110,8.4883
0.11,2,120,8.7379
0.11,2,130,8.9735
0.11,2,140,9.198
0.11,2,150,9.4117
0.11,3,60,7.0538
0.11,3,70,7.4348
0.11,3,80,7.7835
0.11,3,90,8.1063
0.11,3,100,8.4077
